School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
Air Force,Mt. West,Troy Calhoun,885000,885000,247000,--,$0 ,--
Akron,MAC,Terry Bowden,"$411,000 ","$412,500 ","$225,000 ","$50,000 ",$0 ,"$688,500 "
Alabama,SEC,Nick Saban,"$8,307,000 ","$8,307,000 ","$1,100,000 ","$500,000 ",$0 ,"$33,600,000 "
Alabama at Birmingham,C-USA,Bill Clark,"$900,000 ","$900,000 ","$950,000 ","$165,471 ",$0 ,"$3,847,500 "
Appalachian State,Sun Belt,Scott Satterfield,"$712,500 ","$712,500 ","$295,000 ","$145,000 ",$0 ,"$2,160,417 "
Arizona,Pac-12,Kevin Sumlin,"$1,600,000 ","$2,000,000 ","$2,025,000 ",--,$0 ,"$10,000,000 "
Arizona State,Pac-12,Herm Edwards,"$2,000,000 ","$2,000,000 ","$3,010,000 ",--,$0 ,"$8,166,667 "
Arkansas,SEC,Chad Morris,"$3,500,000 ","$3,500,000 ","$1,000,000 ",--,$0 ,"$12,500,000 "
Arkansas State,Sun Belt,Blake Anderson,"$825,000 ","$825,000 ","$185,000 ","$25,000 ",$0 ,"$300,000 "
Army,Ind.,Jeff Monken,932521,932521,--,--,$0 ,--
Auburn,SEC,Gus Malzahn,"$6,700,000 ","$6,705,656 ","$1,400,000 ","$375,000 ",$0 ,"$32,143,750 "
Ball State,MAC,Mike Neu,"$435,689 ","$435,689 ","$380,000 ","$30,000 ",$0 ,"$980,300 "
Baylor,Big 12,Matt Rhule,--,--,--,--,$0 ,--
Boise State,Mt. West,Bryan Harsin,"$1,650,010 ","$1,650,010 ","$475,000 ","$145,000 ",$0 ,"$7,784,038 "
Boston College,ACC,Steve Addazio,"$2,514,859 ","$2,514,859 ",--,--,$0 ,--
Bowling Green,MAC,Mike Jinks,"$437,228 ","$437,228 ","$245,000 ","$81,250 ",$0 ,"$874,456 "
Brigham Young,Ind.,Kalani Sitake,--,--,--,--,$0 ,--
Buffalo,MAC,Lance Leipold,"$455,500 ","$455,500 ","$381,000 ",$0 ,$0 ,"$1,020,833 "
California,Pac-12,Justin Wilcox,"$1,500,000 ","$1,500,000 ","$900,000 ","$75,000 ",$0 ,"$7,208,500 "
Central Florida,AAC,Josh Heupel,"$1,700,000 ","$1,700,000 ","$250,000 ",--,$0 ,"$3,587,500 "
Central Michigan,MAC,John Bonamego,"$655,000 ","$655,000 ","$415,000 ","$45,000 ",$0 ,"$1,125,000 "
Charlotte,C-USA,Brad Lambert,"$625,000 ","$625,000 ","$120,000 ",$0 ,$0 ,"$556,389 "
Cincinnati,AAC,Luke Fickell,"$2,000,000 ","$2,000,000 ","$625,000 ",$0 ,$0 ,"$7,100,000 "
Clemson,ACC,Dabo Swinney,"$6,205,000 ","$6,543,350 ","$1,125,000 ","$500,000 ",$0 ,"$35,000,000 "
Coastal Carolina,Sun Belt,Joe Moglia,"$400,000 ","$400,000 ","$800,000 ","$25,000 ",$0 ,"$516,667 "
Colorado,Pac-12,Mike MacIntyre,"$2,878,500 ","$2,878,500 ","$2,150,000 ","$297,000 ",$0 ,"$10,314,583 "
Colorado State,Mt. West,Mike Bobo,"$1,800,000 ","$1,800,000 ","$905,000 ","$50,000 ",$0 ,"$8,000,000 "
Connecticut,AAC,Randy Edsall,"$1,100,000 ","$1,100,000 ","$650,000 ","$129,000 ",$0 ,"$1,000,000 "
Duke,ACC,David Cutcliffe,"$2,540,928 ","$2,540,928 ",--,--,$0 ,--
East Carolina,AAC,Scottie Montgomery,"$1,102,500 ","$1,102,500 ","$850,000 ",$0 ,$0 ,"$1,233,333 "
Eastern Michigan,MAC,Chris Creighton,"$460,000 ","$460,000 ","$395,000 ","$10,000 ",$0 ,"$950,000 "
Florida,SEC,Dan Mullen,"$6,070,000 ","$6,070,000 ","$925,000 ",--,$0 ,"$12,000,000 "
Florida Atlantic,C-USA,Lane Kiffin,"$1,000,000 ","$1,000,000 ","$1,150,000 ","$40,000 ",$0 ,"$2,850,000 "
Florida International,C-USA,Butch Davis,"$945,000 ","$945,000 ","$550,000 ","$35,000 ",$0 ,"$3,185,626 "
Florida State,ACC,Willie Taggart,"$5,000,000 ","$5,000,000 ","$1,475,000 ",--,$0 ,"$21,958,333 "
Fresno State,Mt. West,Jeff Tedford,"$1,550,000 ","$1,550,000 ","$2,765,000 ","$1,240,000 ",$0 ,"$5,440,000 "
Georgia,SEC,Kirby Smart,"$6,603,600 ","$6,603,600 ","$1,150,000 ","$1,350,000 ",$0 ,"$27,917,500 "
Georgia Southern,Sun Belt,Chad Lunsford,"$650,000 ","$650,000 ","$295,000 ",--,$0 ,"$83,333 "
Georgia State,Sun Belt,Shawn Elliott,"$569,000 ","$569,000 ","$220,000 ","$60,000 ",$0 ,"$1,500,000 "
Georgia Tech,ACC,Paul Johnson,"$3,060,018 ","$3,060,018 ","$1,330,000 ","$225,000 ",$0 ,"$4,000,000 "
Hawaii,Mt. West,Nick Rolovich,"$425,004 ","$486,504 ","$1,260,000 ",$0 ,$0 ,"$300,000 "
Houston,AAC,Major Applewhite,"$1,750,000 ","$1,750,000 ","$782,500 ","$20,000 ",$0 ,"$2,112,500 "
Illinois,Big Ten,Lovie Smith,"$5,000,000 ","$5,000,000 ","$1,000,000 ","$50,000 ",$0 ,"$12,636,991 "
Indiana,Big Ten,Tom Allen,"$1,830,000 ","$1,830,000 ","$1,441,668 ",$0 ,$0 ,"$2,000,000 "
Iowa,Big Ten,Kirk Ferentz,"$4,700,000 ","$4,700,000 ","$2,875,000 ","$600,000 ",$0 ,"$22,396,250 "
Iowa State,Big 12,Matt Campbell,"$3,500,000 ","$3,500,000 ","$750,000 ","$650,000 ",$0 ,"$19,291,667 "
Kansas,Big 12,David Beaty,"$1,701,109 ","$1,701,109 ","$2,000,000 ",$0 ,$0 ,"$3,000,000 "
Kansas State,Big 12,Bill Snyder,"$3,500,000 ","$3,500,000 ","$580,000 ","$50,000 ",$0 ,"$3,000,000 "
Kent State,MAC,Sean Lewis,"$440,000 ","$440,000 ","$406,000 ",--,$0 ,"$1,150,000 "
Kentucky,SEC,Mark Stoops,"$4,000,000 ","$4,013,600 ","$3,100,000 ","$300,000 ",$0 ,"$15,625,000 "
Liberty,Ind.,Turner Gill,"$947,281 ","$947,281 ",--,--,$0 ,--
